decade,budget,revenue,vote_average
1910.0,385907.0,8394751.0,7.4
1920.0,23311000.0,6752105.5,6.9
1930.0,1342210.9333333333,44753935.86666667,6.92
1940.0,1837280.0,23710030.96,6.9
1950.0,2664571.592592593,14220080.185185185,7.092592592592593
1960.0,4990715.985915493,31389139.873239435,6.94225352112676
1970.0,7008181.1009174315,60033561.06422018,6.774311926605504
1980.0,12978156.557553956,61019311.1618705,6.371582733812949
1990.0,28669604.73136247,78793353.2622108,6.237917737789203
2000.0,30473181.82421875,76465911.44482422,6.070751953125
2010.0,34461617.60857538,103579094.9011065,5.857053941908713
