title_x,year,revenue,budget,profit
Avatar,2009.0,2787965087,237000000,2550965087
Titanic,1997.0,1845034188,200000000,1645034188
The Avengers,2012.0,1519557910,220000000,1299557910
Jurassic World,2015.0,1513528810,150000000,1363528810
Furious 7,2015.0,1506249360,190000000,1316249360
Avengers: Age of Ultron,2015.0,1405403694,280000000,1125403694
Frozen,2013.0,1274219009,150000000,1124219009
Iron Man 3,2013.0,1215439994,200000000,1015439994
Minions,2015.0,1156730962,74000000,1082730962
Captain America: Civil War,2016.0,1153304495,250000000,903304495
