title_x,year,budget,revenue,roi
Gone with the Wind,1939.0,4000000,400176459,9904.411475
The Big Parade,1925.0,245000,22000000,8879.591836734695
Saw,2004.0,1200000,103911669,8559.30575
The Evil Dead,1981.0,350000,29400000,8300.0
E.T. the Extra-Terrestrial,1982.0,10500000,792910554,7451.529085714285
My Big Fat Greek Wedding,2002.0,5000000,368744044,7274.880880000001
The Full Monty,1997.0,3500000,257850122,7267.146342857142
A Fistful of Dollars,1964.0,200000,14500000,7150.0
Star Wars,1977.0,11000000,775398007,6949.072790909091
Jaws,1975.0,7000000,470654000,6623.628571428571
